kind,round,position,profile_id,config_seed,config_order,pair_orders
primary,3,2,cpu2,3,groth16:15;groth16:14;groth16:10;groth16:8;plonk:9;plonk:13;plonk:12;groth16:13;groth16:7;plonk:5;plonk:6;groth16:5;plonk:7;groth16:6;groth16:11;plonk:10;plonk:14;plonk:8;groth16:12;groth16:9;plonk:11;plonk:15,
primary,3,3,cpu4,3,groth16:15;groth16:14;groth16:10;groth16:8;plonk:9;plonk:13;plonk:12;groth16:13;groth16:7;plonk:5;plonk:6;groth16:5;plonk:7;groth16:6;groth16:11;plonk:10;plonk:14;plonk:8;groth16:12;groth16:9;plonk:11;plonk:15,
primary,4,1,cpu2,4,plonk:13;groth16:5;groth16:15;groth16:7;plonk:9;plonk:5;plonk:15;plonk:7;plonk:8;groth16:13;groth16:9;plonk:12;plonk:6;groth16:8;groth16:6;groth16:11;groth16:14;plonk:11;plonk:14;plonk:10;groth16:10;groth16:12,
primary,4,2,cpu4,4,plonk:13;groth16:5;groth16:15;groth16:7;plonk:9;plonk:5;plonk:15;plonk:7;plonk:8;groth16:13;groth16:9;plonk:12;plonk:6;groth16:8;groth16:6;groth16:11;groth16:14;plonk:11;plonk:14;plonk:10;groth16:10;groth16:12,
primary,4,3,cpu8,4,plonk:13;groth16:5;groth16:15;groth16:7;plonk:9;plonk:5;plonk:15;plonk:7;plonk:8;groth16:13;groth16:9;plonk:12;plonk:6;groth16:8;groth16:6;groth16:11;groth16:14;plonk:11;plonk:14;plonk:10;groth16:10;groth16:12,
primary,5,1,cpu8,5,plonk:8;groth16:7;plonk:15;groth16:8;plonk:10;plonk:9;groth16:12;groth16:13;plonk:11;groth16:14;plonk:5;plonk:6;groth16:15;plonk:12;plonk:13;groth16:6;plonk:14;groth16:5;plonk:7;groth16:9;groth16:11;groth16:10,
primary,5,2,cpu2,5,plonk:8;groth16:7;plonk:15;groth16:8;plonk:10;plonk:9;groth16:12;groth16:13;plonk:11;groth16:14;plonk:5;plonk:6;groth16:15;plonk:12;plonk:13;groth16:6;plonk:14;groth16:5;plonk:7;groth16:9;groth16:11;groth16:10,
primary,5,3,cpu4,5,plonk:8;groth16:7;plonk:15;groth16:8;plonk:10;plonk:9;groth16:12;groth16:13;plonk:11;groth16:14;plonk:5;plonk:6;groth16:15;plonk:12;plonk:13;groth16:6;plonk:14;groth16:5;plonk:7;groth16:9;groth16:11;groth16:10,
primary,6,1,cpu4,6,groth16:5;groth16:13;groth16:6;groth16:7;groth16:8;groth16:11;groth16:10;groth16:15;groth16:9;groth16:12;groth16:14,
primary,6,2,cpu8,6,groth16:5;groth16:13;groth16:6;groth16:7;groth16:8;groth16:11;groth16:10;groth16:15;groth16:9;groth16:12;groth16:14,
primary,6,3,cpu2,6,groth16:5;groth16:13;groth16:6;groth16:7;groth16:8;groth16:11;groth16:10;groth16:15;groth16:9;groth16:12;groth16:14,
primary,7,1,cpu8,7,groth16:9;groth16:5;groth16:11;groth16:12;groth16:13;groth16:15;groth16:10;groth16:14;groth16:6;groth16:8;groth16:7,
primary,7,2,cpu2,7,groth16:9;groth16:5;groth16:11;groth16:12;groth16:13;groth16:15;groth16:10;groth16:14;groth16:6;groth16:8;groth16:7,
primary,7,3,cpu4,7,groth16:9;groth16:5;groth16:11;groth16:12;groth16:13;groth16:15;groth16:10;groth16:14;groth16:6;groth16:8;groth16:7,
primary,8,1,cpu2,8,groth16:13;groth16:8;groth16:12;groth16:11;groth16:5;groth16:7;groth16:15;groth16:14;groth16:9;groth16:10;groth16:6,
primary,8,2,cpu4,8,groth16:13;groth16:8;groth16:12;groth16:11;groth16:5;groth16:7;groth16:15;groth16:14;groth16:9;groth16:10;groth16:6,
primary,8,3,cpu8,8,groth16:13;groth16:8;groth16:12;groth16:11;groth16:5;groth16:7;groth16:15;groth16:14;groth16:9;groth16:10;groth16:6,
primary,9,1,cpu4,9,groth16:10;groth16:11;groth16:13;groth16:12;groth16:6;groth16:8;groth16:14;groth16:9;groth16:7;groth16:5;groth16:15,
primary,9,2,cpu8,9,groth16:10;groth16:11;groth16:13;groth16:12;groth16:6;groth16:8;groth16:14;groth16:9;groth16:7;groth16:5;groth16:15,
primary,9,3,cpu2,9,groth16:10;groth16:11;groth16:13;groth16:12;groth16:6;groth16:8;groth16:14;groth16:9;groth16:7;groth16:5;groth16:15,
primary,10,1,cpu8,10,groth16:7;groth16:15;groth16:5;groth16:12;groth16:10;groth16:14;groth16:11;groth16:6;groth16:9;groth16:8;groth16:13,
primary,10,2,cpu2,10,groth16:7;groth16:15;groth16:5;groth16:12;groth16:10;groth16:14;groth16:11;groth16:6;groth16:9;groth16:8;groth16:13,
primary,10,3,cpu4,10,groth16:7;groth16:15;groth16:5;groth16:12;groth16:10;groth16:14;groth16:11;groth16:6;groth16:9;groth16:8;groth16:13,
diag,1,1,cpu2,101,groth16:5;plonk:10;groth16:15;plonk:15;plonk:5;groth16:7;plonk:11;groth16:8,groth16:5=mem_first;plonk:10=path_first;groth16:15=mem_first;plonk:15=mem_first;plonk:5=path_first;groth16:7=path_first;plonk:11=mem_first;groth16:8=path_first
diag,1,2,cpu4,101,groth16:5;plonk:10;groth16:15;plonk:15;plonk:5;groth16:7;plonk:11;groth16:8,groth16:5=mem_first;plonk:10=path_first;groth16:15=mem_first;plonk:15=mem_first;plonk:5=path_first;groth16:7=path_first;plonk:11=mem_first;groth16:8=path_first
diag,1,3,cpu8,101,groth16:5;plonk:10;groth16:15;plonk:15;plonk:5;groth16:7;plonk:11;groth16:8,groth16:5=mem_first;plonk:10=path_first;groth16:15=mem_first;plonk:15=mem_first;plonk:5=path_first;groth16:7=path_first;plonk:11=mem_first;groth16:8=path_first
diag,2,1,cpu4,102,groth16:7;groth16:8;plonk:10;plonk:5;plonk:11;plonk:15;groth16:15;groth16:5,groth16:7=mem_first;groth16:8=path_first;plonk:10=path_first;plonk:5=path_first;plonk:11=mem_first;plonk:15=mem_first;groth16:15=mem_first;groth16:5=path_first
diag,2,2,cpu8,102,groth16:7;groth16:8;plonk:10;plonk:5;plonk:11;plonk:15;groth16:15;groth16:5,groth16:7=mem_first;groth16:8=path_first;plonk:10=path_first;plonk:5=path_first;plonk:11=mem_first;plonk:15=mem_first;groth16:15=mem_first;groth16:5=path_first
diag,2,3,cpu2,102,groth16:7;groth16:8;plonk:10;plonk:5;plonk:11;plonk:15;groth16:15;groth16:5,groth16:7=mem_first;groth16:8=path_first;plonk:10=path_first;plonk:5=path_first;plonk:11=mem_first;plonk:15=mem_first;groth16:15=mem_first;groth16:5=path_first
diag,3,1,cpu8,103,groth16:15;groth16:7;plonk:5;plonk:11;groth16:5;plonk:15;plonk:10;groth16:8,groth16:15=mem_first;groth16:7=path_first;plonk:5=path_first;plonk:11=mem_first;groth16:5=mem_first;plonk:15=path_first;plonk:10=mem_first;groth16:8=path_first
diag,3,2,cpu2,103,groth16:15;groth16:7;plonk:5;plonk:11;groth16:5;plonk:15;plonk:10;groth16:8,groth16:15=mem_first;groth16:7=path_first;plonk:5=path_first;plonk:11=mem_first;groth16:5=mem_first;plonk:15=path_first;plonk:10=mem_first;groth16:8=path_first
diag,3,3,cpu4,103,groth16:15;groth16:7;plonk:5;plonk:11;groth16:5;plonk:15;plonk:10;groth16:8,groth16:15=mem_first;groth16:7=path_first;plonk:5=path_first;plonk:11=mem_first;groth16:5=mem_first;plonk:15=path_first;plonk:10=mem_first;groth16:8=path_first
diag,4,1,cpu4,104,groth16:15;groth16:7;plonk:15;groth16:5;plonk:5;groth16:8;plonk:10;plonk:11,groth16:15=path_first;groth16:7=mem_first;plonk:15=path_first;groth16:5=path_first;plonk:5=mem_first;groth16:8=mem_first;plonk:10=mem_first;plonk:11=path_first
diag,4,2,cpu8,104,groth16:15;groth16:7;plonk:15;groth16:5;plonk:5;groth16:8;plonk:10;plonk:11,groth16:15=path_first;groth16:7=mem_first;plonk:15=path_first;groth16:5=path_first;plonk:5=mem_first;groth16:8=mem_first;plonk:10=mem_first;plonk:11=path_first
diag,4,3,cpu2,104,groth16:15;groth16:7;plonk:15;groth16:5;plonk:5;groth16:8;plonk:10;plonk:11,groth16:15=path_first;groth16:7=mem_first;plonk:15=path_first;groth16:5=path_first;plonk:5=mem_first;groth16:8=mem_first;plonk:10=mem_first;plonk:11=path_first
diag,5,1,cpu8,105,plonk:15;plonk:10;plonk:5;groth16:5;plonk:11;groth16:15;groth16:7;groth16:8,plonk:15=mem_first;plonk:10=path_first;plonk:5=mem_first;groth16:5=path_first;plonk:11=path_first;groth16:15=path_first;groth16:7=mem_first;groth16:8=mem_first
diag,5,2,cpu2,105,plonk:15;plonk:10;plonk:5;groth16:5;plonk:11;groth16:15;groth16:7;groth16:8,plonk:15=mem_first;plonk:10=path_first;plonk:5=mem_first;groth16:5=path_first;plonk:11=path_first;groth16:15=path_first;groth16:7=mem_first;groth16:8=mem_first
diag,5,3,cpu4,105,plonk:15;plonk:10;plonk:5;groth16:5;plonk:11;groth16:15;groth16:7;groth16:8,plonk:15=mem_first;plonk:10=path_first;plonk:5=mem_first;groth16:5=path_first;plonk:11=path_first;groth16:15=path_first;groth16:7=mem_first;groth16:8=mem_first
